Symptom,Age Group,Medicine,Dosage
UTI pain,6-15 years,Appropriate analgesic/antipyretic + supportive care,Paracetamol 500 mg every 4-6 hrs as needed
UTI pain,Above 15 years,Paracetamol or condition-specific therapy,Paracetamol 500-650 mg every 4-6 hrs as needed
Kidney stone pain,Below 1 year,Supportive care / Pediatric review,Non-medical measures; consult pediatrician before systemic drugs
Kidney stone pain,1-3 years,Paracetamol syrup + Supportive care,Paracetamol 120 mg every 4-6 hrs as needed; follow-up with clinician
Kidney stone pain,3-6 years,Paracetamol + Multivitamin (if weakness) / Supportive care,Paracetamol 250 mg every 4-6 hrs as needed; multivitamin per label
Kidney stone pain,6-15 years,Appropriate analgesic/antipyretic + supportive care,Paracetamol 500 mg every 4-6 hrs as needed
Kidney stone pain,Above 15 years,Paracetamol or condition-specific therapy,Paracetamol 500-650 mg every 4-6 hrs as needed
Liver disorder fatigue,Below 1 year,Supportive care / Pediatric review,Non-medical measures; consult pediatrician before systemic drugs
Liver disorder fatigue,1-3 years,Paracetamol syrup + Supportive care,Paracetamol 120 mg every 4-6 hrs as needed; follow-up with clinician
Liver disorder fatigue,3-6 years,Paracetamol + Multivitamin (if weakness) / Supportive care,Paracetamol 250 mg every 4-6 hrs as needed; multivitamin per label
Liver disorder fatigue,6-15 years,Appropriate analgesic/antipyretic + supportive care,Paracetamol 500 mg every 4-6 hrs as needed
Liver disorder fatigue,Above 15 years,Paracetamol or condition-specific therapy,Paracetamol 500-650 mg every 4-6 hrs as needed
Jaundice weakness,Below 1 year,Supportive care / Pediatric review,Non-medical measures; consult pediatrician before systemic drugs
Jaundice weakness,1-3 years,Paracetamol syrup + Supportive care,Paracetamol 120 mg every 4-6 hrs as needed; follow-up with clinician
Jaundice weakness,3-6 years,Paracetamol + Multivitamin (if weakness) / Supportive care,Paracetamol 250 mg every 4-6 hrs as needed; multivitamin per label
Jaundice weakness,6-15 years,Appropriate analgesic/antipyretic + supportive care,Paracetamol 500 mg every 4-6 hrs as needed
Jaundice weakness,Above 15 years,Paracetamol or condition-specific therapy,Paracetamol 500-650 mg every 4-6 hrs as needed
Malaria fever,Below 1 year,Paracetamol (drops),Paracetamol 15 mg/kg every 4-6 hrs as needed (follow pediatrician)
Malaria fever,1-3 years,Paracetamol syrup ± Ibuprofen syrup,Paracetamol 120 mg every 4-6 hrs as needed; Ibuprofen 100 mg every 6-8 hrs if needed
Malaria fever,3-6 years,Paracetamol syrup ± Ibuprofen syrup,Paracetamol 250 mg every 4-6 hrs as needed; Ibuprofen 200 mg every 6-8 hrs if needed
Malaria fever,6-15 years,Paracetamol tablet/syrup ± Ibuprofen,Paracetamol 500 mg every 4-6 hrs as needed (max 4 doses/day); Ibuprofen 200-300 mg every 6-8 hrs if needed
Malaria fever,Above 15 years,Paracetamol ± specific antimicrobial/supportive treatment,"Paracetamol 500-650 mg every 4-6 hrs as needed; specific therapy per diagnosis (e.g., antimalarial, antibiotics)"
Typhoid fever,Below 1 year,Paracetamol (drops),Paracetamol 15 mg/kg every 4-6 hrs as needed (follow pediatrician)
Typhoid fever,1-3 years,Paracetamol syrup ± Ibuprofen syrup,Paracetamol 120 mg every 4-6 hrs as needed; Ibuprofen 100 mg every 6-8 hrs if needed
Typhoid fever,3-6 years,Paracetamol syrup ± Ibuprofen syrup,Paracetamol 250 mg every 4-6 hrs as needed; Ibuprofen 200 mg every 6-8 hrs if needed
Typhoid fever,6-15 years,Paracetamol tablet/syrup ± Ibuprofen,Paracetamol 500 mg every 4-6 hrs as needed (max 4 doses/day); Ibuprofen 200-300 mg every 6-8 hrs if needed
Typhoid fever,Above 15 years,Paracetamol ± specific antimicrobial/supportive treatment,"Paracetamol 500-650 mg every 4-6 hrs as needed; specific therapy per diagnosis (e.g., antimalarial, antibiotics)"
Dengue fever,Below 1 year,Paracetamol (drops),Paracetamol 15 mg/kg every 4-6 hrs as needed (follow pediatrician)
Dengue fever,1-3 years,Paracetamol syrup ± Ibuprofen syrup,Paracetamol 120 mg every 4-6 hrs as needed; Ibuprofen 100 mg every 6-8 hrs if needed
Dengue fever,3-6 years,Paracetamol syrup ± Ibuprofen syrup,Paracetamol 250 mg every 4-6 hrs as needed; Ibuprofen 200 mg every 6-8 hrs if needed
Dengue fever,6-15 years,Paracetamol tablet/syrup ± Ibuprofen,Paracetamol 500 mg every 4-6 hrs as needed (max 4 doses/day); Ibuprofen 200-300 mg every 6-8 hrs if needed
Dengue fever,Above 15 years,Paracetamol ± specific antimicrobial/supportive treatment,"Paracetamol 500-650 mg every 4-6 hrs as needed; specific therapy per diagnosis (e.g., antimalarial, antibiotics)"
COVID fever,Below 1 year,Paracetamol (drops),Paracetamol 15 mg/kg every 4-6 hrs as needed (follow pediatrician)
COVID fever,1-3 years,Paracetamol syrup ± Ibuprofen syrup,Paracetamol 120 mg every 4-6 hrs as needed; Ibuprofen 100 mg every 6-8 hrs if needed
COVID fever,3-6 years,Paracetamol syrup ± Ibuprofen syrup,Paracetamol 250 mg every 4-6 hrs as needed; Ibuprofen 200 mg every 6-8 hrs if needed
COVID fever,6-15 years,Paracetamol tablet/syrup ± Ibuprofen,Paracetamol 500 mg every 4-6 hrs as needed (max 4 doses/day); Ibuprofen 200-300 mg every 6-8 hrs if needed
COVID fever,Above 15 years,Paracetamol ± specific antimicrobial/supportive treatment,"Paracetamol 500-650 mg every 4-6 hrs as needed; specific therapy per diagnosis (e.g., antimalarial, antibiotics)"
Allergic rhinitis,Below 1 year,Supportive care / Pediatric review,Non-medical measures; consult pediatrician before systemic drugs
Allergic rhinitis,1-3 years,Paracetamol syrup + Supportive care,Paracetamol 120 mg every 4-6 hrs as needed; follow-up with clinician
Allergic rhinitis,3-6 years,Paracetamol + Multivitamin (if weakness) / Supportive care,Paracetamol 250 mg every 4-6 hrs as needed; multivitamin per label
Allergic rhinitis,6-15 years,Appropriate analgesic/antipyretic + supportive care,Paracetamol 500 mg every 4-6 hrs as needed
Allergic rhinitis,Above 15 years,Paracetamol or condition-specific therapy,Paracetamol 500-650 mg every 4-6 hrs as needed
Sinusitis,Below 1 year,Supportive care / Pediatric review,Non-medical measures; consult pediatrician before systemic drugs
Sinusitis,1-3 years,Paracetamol syrup + Supportive care,Paracetamol 120 mg every 4-6 hrs as needed; follow-up with clinician
Sinusitis,3-6 years,Paracetamol + Multivitamin (if weakness) / Supportive care,Paracetamol 250 mg every 4-6 hrs as needed; multivitamin per label
Sinusitis,6-15 years,Amoxicillin or Azithromycin + Paracetamol,Amoxicillin dosing per pediatric guidance; Paracetamol 500 mg every 4-6 hrs
Sinusitis,Above 15 years,Paracetamol or condition-specific therapy,Paracetamol 500-650 mg every 4-6 hrs as needed
Tonsillitis,Below 1 year,Supportive care / Pediatric review,Non-medical measures; consult pediatrician before systemic drugs
Tonsillitis,1-3 years,Paracetamol syrup + Supportive care,Paracetamol 120 mg every 4-6 hrs as needed; follow-up with clinician
Tonsillitis,3-6 years,Amoxicillin syrup ± Paracetamol,"Amoxicillin per pediatric dosing (e.g., 20-45 mg/kg/day divided); Paracetamol 250 mg every 4-6 hrs"
Tonsillitis,6-15 years,Amoxicillin or Azithromycin + Paracetamol,Amoxicillin dosing per pediatric guidance; Paracetamol 500 mg every 4-6 hrs
Tonsillitis,Above 15 years,Paracetamol or condition-specific therapy,Paracetamol 500-650 mg every 4-6 hrs as needed
Pneumonia cough,Below 1 year,Refer to pediatrician (possible Amoxicillin drops),"Amoxicillin dosing per pediatric guidelines (e.g., 15-30 mg/kg/day divided) — prescribe per clinician"
Pneumonia cough,1-3 years,Supportive care ± antibiotic if bacterial (per doctor),Supportive; antibiotics if bacterial per clinician (amoxicillin dosing per kg)
Pneumonia cough,3-6 years,Amoxicillin syrup ± Paracetamol,"Amoxicillin per pediatric dosing (e.g., 20-45 mg/kg/day divided); Paracetamol 250 mg every 4-6 hrs"
Pneumonia cough,6-15 years,Amoxicillin or Azithromycin + Paracetamol,Amoxicillin dosing per pediatric guidance; Paracetamol 500 mg every 4-6 hrs
Pneumonia cough,Above 15 years,Antibiotic if bacterial (Amoxicillin/Azithromycin) + Expectorant/Salbutamol if wheeze,Amoxicillin 500 mg TDS or per local guidelines; Azithromycin 500 mg once daily for 3 days as alternative
Bronchitis cough,Below 1 year,"Supportive care (saline nasal drops, humidification)",Saline 2-3 drops; no OTC cough syrups — consult pediatrician
Bronchitis cough,1-3 years,Supportive care ± antibiotic if bacterial (per doctor),Supportive; antibiotics if bacterial per clinician (amoxicillin dosing per kg)
Bronchitis cough,3-6 years,Amoxicillin syrup ± Paracetamol,"Amoxicillin per pediatric dosing (e.g., 20-45 mg/kg/day divided); Paracetamol 250 mg every 4-6 hrs"
Bronchitis cough,6-15 years,Appropriate analgesic/antipyretic + supportive care,Paracetamol 500 mg every 4-6 hrs as needed
Bronchitis cough,Above 15 years,Antibiotic if bacterial (Amoxicillin/Azithromycin) + Expectorant/Salbutamol if wheeze,Amoxicillin 500 mg TDS or per local guidelines; Azithromycin 500 mg once daily for 3 days as alternative
TB cough,Below 1 year,"Supportive care (saline nasal drops, humidification)",Saline 2-3 drops; no OTC cough syrups — consult pediatrician
TB cough,1-3 years,Supportive care ± antibiotic if bacterial (per doctor),Supportive; antibiotics if bacterial per clinician (amoxicillin dosing per kg)
TB cough,3-6 years,Amoxicillin syrup ± Paracetamol,"Amoxicillin per pediatric dosing (e.g., 20-45 mg/kg/day divided); Paracetamol 250 mg every 4-6 hrs"
TB cough,6-15 years,Appropriate analgesic/antipyretic + supportive care,Paracetamol 500 mg every 4-6 hrs as needed
TB cough,Above 15 years,Antibiotic if bacterial (Amoxicillin/Azithromycin) + Expectorant/Salbutamol if wheeze,Amoxicillin 500 mg TDS or per local guidelines; Azithromycin 500 mg once daily for 3 days as alternative
Chickenpox fever,Below 1 year,Paracetamol (drops),Paracetamol 15 mg/kg every 4-6 hrs as needed (follow pediatrician)
Chickenpox fever,1-3 years,Paracetamol syrup ± Ibuprofen syrup,Paracetamol 120 mg every 4-6 hrs as needed; Ibuprofen 100 mg every 6-8 hrs if needed
Chickenpox fever,3-6 years,Paracetamol syrup ± Ibuprofen syrup,Paracetamol 250 mg every 4-6 hrs as needed; Ibuprofen 200 mg every 6-8 hrs if needed
Chickenpox fever,6-15 years,Paracetamol tablet/syrup ± Ibuprofen,Paracetamol 500 mg every 4-6 hrs as needed (max 4 doses/day); Ibuprofen 200-300 mg every 6-8 hrs if needed
Chickenpox fever,Above 15 years,Paracetamol ± specific antimicrobial/supportive treatment,"Paracetamol 500-650 mg every 4-6 hrs as needed; specific therapy per diagnosis (e.g., antimalarial, antibiotics)"
Measles fever,Below 1 year,Paracetamol (drops),Paracetamol 15 mg/kg every 4-6 hrs as needed (follow pediatrician)
Measles fever,1-3 years,Paracetamol syrup ± Ibuprofen syrup,Paracetamol 120 mg every 4-6 hrs as needed; Ibuprofen 100 mg every 6-8 hrs if needed
Measles fever,3-6 years,Paracetamol syrup ± Ibuprofen syrup,Paracetamol 250 mg every 4-6 hrs as needed; Ibuprofen 200 mg every 6-8 hrs if needed
Measles fever,6-15 years,Paracetamol tablet/syrup ± Ibuprofen,Paracetamol 500 mg every 4-6 hrs as needed (max 4 doses/day); Ibuprofen 200-300 mg every 6-8 hrs if needed
Measles fever,Above 15 years,Paracetamol ± specific antimicrobial/supportive treatment,"Paracetamol 500-650 mg every 4-6 hrs as needed; specific therapy per diagnosis (e.g., antimalarial, antibiotics)"
Mumps pain,Below 1 year,Supportive care / Pediatric review,Non-medical measures; consult pediatrician before systemic drugs
Mumps pain,1-3 years,Paracetamol syrup + Supportive care,Paracetamol 120 mg every 4-6 hrs as needed; follow-up with clinician
Mumps pain,3-6 years,Paracetamol + Multivitamin (if weakness) / Supportive care,Paracetamol 250 mg every 4-6 hrs as needed; multivitamin per label
Mumps pain,6-15 years,Appropriate analgesic/antipyretic + supportive care,Paracetamol 500 mg every 4-6 hrs as needed
Mumps pain,Above 15 years,Paracetamol or condition-specific therapy,Paracetamol 500-650 mg every 4-6 hrs as needed
Hepatitis weakness,Below 1 year,Supportive care / Pediatric review,Non-medical measures; consult pediatrician before systemic drugs
Hepatitis weakness,1-3 years,Paracetamol syrup + Supportive care,Paracetamol 120 mg every 4-6 hrs as needed; follow-up with clinician
Hepatitis weakness,3-6 years,Paracetamol + Multivitamin (if weakness) / Supportive care,Paracetamol 250 mg every 4-6 hrs as needed; multivitamin per label
Hepatitis weakness,6-15 years,Appropriate analgesic/antipyretic + supportive care,Paracetamol 500 mg every 4-6 hrs as needed
Hepatitis weakness,Above 15 years,Paracetamol or condition-specific therapy,Paracetamol 500-650 mg every 4-6 hrs as needed
Gout pain,Below 1 year,Supportive care / Pediatric review,Non-medical measures; consult pediatrician before systemic drugs
Gout pain,1-3 years,Paracetamol syrup + Supportive care,Paracetamol 120 mg every 4-6 hrs as needed; follow-up with clinician
Gout pain,3-6 years,Paracetamol + Multivitamin (if weakness) / Supportive care,Paracetamol 250 mg every 4-6 hrs as needed; multivitamin per label
Gout pain,6-15 years,Appropriate analgesic/antipyretic + supportive care,Paracetamol 500 mg every 4-6 hrs as needed
Gout pain,Above 15 years,NSAID (Aceclofenac or Ibuprofen) + PPI (Rabeprazole/Pantoprazole) + Supplement if needed,Aceclofenac 100 mg twice daily or Ibuprofen 400 mg every 6-8 hrs + Rabeprazole 20 mg daily; add Vit D/calcium if indicated
Sciatica pain,Below 1 year,Supportive care / Pediatric review,Non-medical measures; consult pediatrician before systemic drugs
Sciatica pain,1-3 years,Paracetamol syrup + Supportive care,Paracetamol 120 mg every 4-6 hrs as needed; follow-up with clinician
Sciatica pain,3-6 years,Paracetamol + Multivitamin (if weakness) / Supportive care,Paracetamol 250 mg every 4-6 hrs as needed; multivitamin per label
Sciatica pain,6-15 years,Appropriate analgesic/antipyretic + supportive care,Paracetamol 500 mg every 4-6 hrs as needed
Sciatica pain,Above 15 years,NSAID (Aceclofenac or Ibuprofen) + PPI (Rabeprazole/Pantoprazole) + Supplement if needed,Aceclofenac 100 mg twice daily or Ibuprofen 400 mg every 6-8 hrs + Rabeprazole 20 mg daily; add Vit D/calcium if indicated
Spondylitis pain,Below 1 year,Supportive care / Pediatric review,Non-medical measures; consult pediatrician before systemic drugs
Spondylitis pain,1-3 years,Paracetamol syrup + Supportive care,Paracetamol 120 mg every 4-6 hrs as needed; follow-up with clinician
Spondylitis pain,3-6 years,Paracetamol + Multivitamin (if weakness) / Supportive care,Paracetamol 250 mg every 4-6 hrs as needed; multivitamin per label
Spondylitis pain,6-15 years,Appropriate analgesic/antipyretic + supportive care,Paracetamol 500 mg every 4-6 hrs as needed
Spondylitis pain,Above 15 years,Paracetamol or condition-specific therapy,Paracetamol 500-650 mg every 4-6 hrs as needed
Slip disc pain,Below 1 year,Supportive care / Pediatric review,Non-medical measures; consult pediatrician before systemic drugs
Slip disc pain,1-3 years,Paracetamol syrup + Supportive care,Paracetamol 120 mg every 4-6 hrs as needed; follow-up with clinician
Slip disc pain,3-6 years,Paracetamol + Multivitamin (if weakness) / Supportive care,Paracetamol 250 mg every 4-6 hrs as needed; multivitamin per label
Slip disc pain,6-15 years,Appropriate analgesic/antipyretic + supportive care,Paracetamol 500 mg every 4-6 hrs as needed
Slip disc pain,Above 15 years,NSAID (Aceclofenac or Ibuprofen) + PPI (Rabeprazole/Pantoprazole) + Supplement if needed,Aceclofenac 100 mg twice daily or Ibuprofen 400 mg every 6-8 hrs + Rabeprazole 20 mg daily; add Vit D/calcium if indicated
Vertigo,Below 1 year,Supportive care / Pediatric review,Non-medical measures; consult pediatrician before systemic drugs
Vertigo,1-3 years,Paracetamol syrup + Supportive care,Paracetamol 120 mg every 4-6 hrs as needed; follow-up with clinician
Vertigo,3-6 years,Paracetamol + Multivitamin (if weakness) / Supportive care,Paracetamol 250 mg every 4-6 hrs as needed; multivitamin per label
Vertigo,6-15 years,Appropriate analgesic/antipyretic + supportive care,Paracetamol 500 mg every 4-6 hrs as needed
Vertigo,Above 15 years,Paracetamol or condition-specific therapy,Paracetamol 500-650 mg every 4-6 hrs as needed
Epilepsy seizure,Below 1 year,Supportive care / Pediatric review,Non-medical measures; consult pediatrician before systemic drugs
Epilepsy seizure,1-3 years,Paracetamol syrup + Supportive care,Paracetamol 120 mg every 4-6 hrs as needed; follow-up with clinician
Epilepsy seizure,3-6 years,Paracetamol + Multivitamin (if weakness) / Supportive care,Paracetamol 250 mg every 4-6 hrs as needed; multivitamin per label
Epilepsy seizure,6-15 years,Appropriate analgesic/antipyretic + supportive care,Paracetamol 500 mg every 4-6 hrs as needed
Epilepsy seizure,Above 15 years,Paracetamol or condition-specific therapy,Paracetamol 500-650 mg every 4-6 hrs as needed
Parkinson tremor,Below 1 year,Supportive care / Pediatric review,Non-medical measures; consult pediatrician before systemic drugs
Parkinson tremor,1-3 years,Paracetamol syrup + Supportive care,Paracetamol 120 mg every 4-6 hrs as needed; follow-up with clinician
Parkinson tremor,3-6 years,Paracetamol + Multivitamin (if weakness) / Supportive care,Paracetamol 250 mg every 4-6 hrs as needed; multivitamin per label
Parkinson tremor,6-15 years,Appropriate analgesic/antipyretic + supportive care,Paracetamol 500 mg every 4-6 hrs as needed
Parkinson tremor,Above 15 years,Paracetamol or condition-specific therapy,Paracetamol 500-650 mg every 4-6 hrs as needed
Alzheimer confusion,Below 1 year,Supportive care / Pediatric review,Non-medical measures; consult pediatrician before systemic drugs
Alzheimer confusion,1-3 years,Paracetamol syrup + Supportive care,Paracetamol 120 mg every 4-6 hrs as needed; follow-up with clinician
Alzheimer confusion,3-6 years,Paracetamol + Multivitamin (if weakness) / Supportive care,Paracetamol 250 mg every 4-6 hrs as needed; multivitamin per label
Alzheimer confusion,6-15 years,Appropriate analgesic/antipyretic + supportive care,Paracetamol 500 mg every 4-6 hrs as needed
Alzheimer confusion,Above 15 years,Paracetamol or condition-specific therapy,Paracetamol 500-650 mg every 4-6 hrs as needed
Stroke weakness,Below 1 year,Supportive care / Pediatric review,Non-medical measures; consult pediatrician before systemic drugs
Stroke weakness,1-3 years,Paracetamol syrup + Supportive care,Paracetamol 120 mg every 4-6 hrs as needed; follow-up with clinician
Stroke weakness,3-6 years,Paracetamol + Multivitamin (if weakness) / Supportive care,Paracetamol 250 mg every 4-6 hrs as needed; multivitamin per label
Stroke weakness,6-15 years,Appropriate analgesic/antipyretic + supportive care,Paracetamol 500 mg every 4-6 hrs as needed
Stroke weakness,Above 15 years,Refer to specialist; symptomatic meds as per cardiology/neurology,Specialist-directed regimens
Paralysis pain,Below 1 year,Supportive care / Pediatric review,Non-medical measures; consult pediatrician before systemic drugs
Paralysis pain,1-3 years,Paracetamol syrup + Supportive care,Paracetamol 120 mg every 4-6 hrs as needed; follow-up with clinician
Paralysis pain,3-6 years,Paracetamol + Multivitamin (if weakness) / Supportive care,Paracetamol 250 mg every 4-6 hrs as needed; multivitamin per label
Paralysis pain,6-15 years,Appropriate analgesic/antipyretic + supportive care,Paracetamol 500 mg every 4-6 hrs as needed
Paralysis pain,Above 15 years,Paracetamol or condition-specific therapy,Paracetamol 500-650 mg every 4-6 hrs as needed
Burn injury pain,Below 1 year,Paracetamol (drops),Paracetamol 15 mg/kg every 4-6 hrs as needed (follow pediatrician)
Burn injury pain,1-3 years,Paracetamol syrup + Supportive care,Paracetamol 120 mg every 4-6 hrs as needed; follow-up with clinician
Burn injury pain,3-6 years,Paracetamol + Multivitamin (if weakness) / Supportive care,Paracetamol 250 mg every 4-6 hrs as needed; multivitamin per label
Burn injury pain,6-15 years,Appropriate analgesic/antipyretic + supportive care,Paracetamol 500 mg every 4-6 hrs as needed
Burn injury pain,Above 15 years,Paracetamol or condition-specific therapy,Paracetamol 500-650 mg every 4-6 hrs as needed
Wound pain,Below 1 year,Paracetamol (drops),Paracetamol 15 mg/kg every 4-6 hrs as needed (follow pediatrician)
Wound pain,1-3 years,Paracetamol syrup + Supportive care,Paracetamol 120 mg every 4-6 hrs as needed; follow-up with clinician
Wound pain,3-6 years,Paracetamol + Multivitamin (if weakness) / Supportive care,Paracetamol 250 mg every 4-6 hrs as needed; multivitamin per label
Wound pain,6-15 years,Appropriate analgesic/antipyretic + supportive care,Paracetamol 500 mg every 4-6 hrs as needed
Wound pain,Above 15 years,Paracetamol or condition-specific therapy,Paracetamol 500-650 mg every 4-6 hrs as needed
Fracture pain,Below 1 year,Supportive care / Pediatric review,Non-medical measures; consult pediatrician before systemic drugs
Fracture pain,1-3 years,Paracetamol syrup + Supportive care,Paracetamol 120 mg every 4-6 hrs as needed; follow-up with clinician
Fracture pain,3-6 years,Paracetamol + Multivitamin (if weakness) / Supportive care,Paracetamol 250 mg every 4-6 hrs as needed; multivitamin per label
Fracture pain,6-15 years,Appropriate analgesic/antipyretic + supportive care,Paracetamol 500 mg every 4-6 hrs as needed
Fracture pain,Above 15 years,NSAID (Aceclofenac or Ibuprofen) + PPI (Rabeprazole/Pantoprazole) + Supplement if needed,Aceclofenac 100 mg twice daily or Ibuprofen 400 mg every 6-8 hrs + Rabeprazole 20 mg daily; add Vit D/calcium if indicated
Sprain pain,Below 1 year,Supportive care / Pediatric review,Non-medical measures; consult pediatrician before systemic drugs
Sprain pain,1-3 years,Paracetamol syrup + Supportive care,Paracetamol 120 mg every 4-6 hrs as needed; follow-up with clinician
Sprain pain,3-6 years,Paracetamol + Multivitamin (if weakness) / Supportive care,Paracetamol 250 mg every 4-6 hrs as needed; multivitamin per label
Sprain pain,6-15 years,Appropriate analgesic/antipyretic + supportive care,Paracetamol 500 mg every 4-6 hrs as needed
Sprain pain,Above 15 years,NSAID (Aceclofenac or Ibuprofen) + PPI (Rabeprazole/Pantoprazole) + Supplement if needed,Aceclofenac 100 mg twice daily or Ibuprofen 400 mg every 6-8 hrs + Rabeprazole 20 mg daily; add Vit D/calcium if indicated
Sports injury pain,Below 1 year,Supportive care / Pediatric review,Non-medical measures; consult pediatrician before systemic drugs
Sports injury pain,1-3 years,Paracetamol syrup + Supportive care,Paracetamol 120 mg every 4-6 hrs as needed; follow-up with clinician
Sports injury pain,3-6 years,Paracetamol + Multivitamin (if weakness) / Supportive care,Paracetamol 250 mg every 4-6 hrs as needed; multivitamin per label
Sports injury pain,6-15 years,Appropriate analgesic/antipyretic + supportive care,Paracetamol 500 mg every 4-6 hrs as needed
Sports injury pain,Above 15 years,NSAID (Aceclofenac or Ibuprofen) + PPI (Rabeprazole/Pantoprazole) + Supplement if needed,Aceclofenac 100 mg twice daily or Ibuprofen 400 mg every 6-8 hrs + Rabeprazole 20 mg daily; add Vit D/calcium if indicated
Post-surgery pain,Below 1 year,Supportive care / Pediatric review,Non-medical measures; consult pediatrician before systemic drugs
Post-surgery pain,1-3 years,Paracetamol syrup + Supportive care,Paracetamol 120 mg every 4-6 hrs as needed; follow-up with clinician
Post-surgery pain,3-6 years,Paracetamol + Multivitamin (if weakness) / Supportive care,Paracetamol 250 mg every 4-6 hrs as needed; multivitamin per label
Post-surgery pain,6-15 years,Appropriate analgesic/antipyretic + supportive care,Paracetamol 500 mg every 4-6 hrs as needed
Post-surgery pain,Above 15 years,NSAID (Aceclofenac or Ibuprofen) + PPI (Rabeprazole/Pantoprazole) + Supplement if needed,Aceclofenac 100 mg twice daily or Ibuprofen 400 mg every 6-8 hrs + Rabeprazole 20 mg daily; add Vit D/calcium if indicated
Cancer pain,Below 1 year,Supportive care / Pediatric review,Non-medical measures; consult pediatrician before systemic drugs
Cancer pain,1-3 years,Paracetamol syrup + Supportive care,Paracetamol 120 mg every 4-6 hrs as needed; follow-up with clinician
Cancer pain,3-6 years,Paracetamol + Multivitamin (if weakness) / Supportive care,Paracetamol 250 mg every 4-6 hrs as needed; multivitamin per label
Cancer pain,6-15 years,Appropriate analgesic/antipyretic + supportive care,Paracetamol 500 mg every 4-6 hrs as needed
Cancer pain,Above 15 years,NSAID (Aceclofenac or Ibuprofen) + PPI (Rabeprazole/Pantoprazole) + Supplement if needed,Aceclofenac 100 mg twice daily or Ibuprofen 400 mg every 6-8 hrs + Rabeprazole 20 mg daily; add Vit D/calcium if indicated
Chemotherapy nausea,Below 1 year,Supportive care / Pediatric review,Non-medical measures; consult pediatrician before systemic drugs
Chemotherapy nausea,1-3 years,Paracetamol syrup + Supportive care,Paracetamol 120 mg every 4-6 hrs as needed; follow-up with clinician
Chemotherapy nausea,3-6 years,Paracetamol + Multivitamin (if weakness) / Supportive care,Paracetamol 250 mg every 4-6 hrs as needed; multivitamin per label
Chemotherapy nausea,6-15 years,Appropriate analgesic/antipyretic + supportive care,Paracetamol 500 mg every 4-6 hrs as needed
Chemotherapy nausea,Above 15 years,Antiemetic + Analgesic + Supportive oncology meds,Ondansetron 4 mg TDS for nausea; analgesics per pain severity; oncology regimens per oncologist
Radiation fatigue,Below 1 year,Supportive care / Pediatric review,Non-medical measures; consult pediatrician before systemic drugs
Radiation fatigue,1-3 years,Paracetamol syrup + Supportive care,Paracetamol 120 mg every 4-6 hrs as needed; follow-up with clinician
Radiation fatigue,3-6 years,Paracetamol + Multivitamin (if weakness) / Supportive care,Paracetamol 250 mg every 4-6 hrs as needed; multivitamin per label
Radiation fatigue,6-15 years,Appropriate analgesic/antipyretic + supportive care,Paracetamol 500 mg every 4-6 hrs as needed
Radiation fatigue,Above 15 years,Antiemetic + Analgesic + Supportive oncology meds,Ondansetron 4 mg TDS for nausea; analgesics per pain severity; oncology regimens per oncologist
HIV weakness,Below 1 year,Supportive care / Pediatric review,Non-medical measures; consult pediatrician before systemic drugs
HIV weakness,1-3 years,Paracetamol syrup + Supportive care,Paracetamol 120 mg every 4-6 hrs as needed; follow-up with clinician
HIV weakness,3-6 years,Paracetamol + Multivitamin (if weakness) / Supportive care,Paracetamol 250 mg every 4-6 hrs as needed; multivitamin per label
HIV weakness,6-15 years,Appropriate analgesic/antipyretic + supportive care,Paracetamol 500 mg every 4-6 hrs as needed
HIV weakness,Above 15 years,Paracetamol or condition-specific therapy,Paracetamol 500-650 mg every 4-6 hrs as needed
Cold sore,Below 1 year,"Supportive care (saline nasal drops, humidification)",Saline 2-3 drops; no OTC cough syrups — consult pediatrician
Cold sore,1-3 years,Paracetamol syrup + Supportive care,Paracetamol 120 mg every 4-6 hrs as needed; follow-up with clinician
Cold sore,3-6 years,Paracetamol + Multivitamin (if weakness) / Supportive care,Paracetamol 250 mg every 4-6 hrs as needed; multivitamin per label
Cold sore,6-15 years,Appropriate analgesic/antipyretic + supportive care,Paracetamol 500 mg every 4-6 hrs as needed
Cold sore,Above 15 years,Paracetamol or condition-specific therapy,Paracetamol 500-650 mg every 4-6 hrs as needed
Herpes zoster pain,Below 1 year,Supportive care / Pediatric review,Non-medical measures; consult pediatrician before systemic drugs
Herpes zoster pain,1-3 years,Paracetamol syrup + Supportive care,Paracetamol 120 mg every 4-6 hrs as needed; follow-up with clinician
Herpes zoster pain,3-6 years,Paracetamol + Multivitamin (if weakness) / Supportive care,Paracetamol 250 mg every 4-6 hrs as needed; multivitamin per label
Herpes zoster pain,6-15 years,Appropriate analgesic/antipyretic + supportive care,Paracetamol 500 mg every 4-6 hrs as needed
Herpes zoster pain,Above 15 years,Paracetamol or condition-specific therapy,Paracetamol 500-650 mg every 4-6 hrs as needed
Fungal infection itch,Below 1 year,Supportive care / Pediatric review,Non-medical measures; consult pediatrician before systemic drugs
Fungal infection itch,1-3 years,Topical treatment ± oral if severe,Topical creams (hydrocortisone 1% for mild eczema) or antifungal creams as advised
Fungal infection itch,3-6 years,Antihistamine syrup + Topical steroid/cream,Cetirizine 5 mg daily; hydrocortisone cream 1% twice daily if needed
Fungal infection itch,6-15 years,Appropriate analgesic/antipyretic + supportive care,Paracetamol 500 mg every 4-6 hrs as needed
